site_code,sample_year,species_code,breeding_territories
BGGR,1991,BANS,4
BGGR,1991,BRTH,1
BGGR,1991,CHSP,1
BGGR,1991,EAKI,0.5
BGGR,1991,EAME,2.5
BGGR,1991,EUST,1
BGGR,1991,FISP,4
BGGR,1991,KILL,2
BGGR,1991,NRWS,1
BGGR,1991,RWBL,14
BGGR,1991,SOSP,2.5
BGGR,1991,TRES,0.25
BGGR,1995,BHCO,1
BGGR,1995,COYE,2
BGGR,1995,EAKI,3
BGGR,1995,EAME,2
BGGR,1995,FISP,7.5
BGGR,1995,KILL,3
BGGR,1995,NRWS,2
BGGR,1995,RWBL,12
BGGR,1995,SOSP,10
BGGR,1995,TRES,3
BGGR,1995,YWAR,1
BGGR,1998,BANS,2
BGGR,1998,BAOR,1
BGGR,1998,BRTH,0.5
BGGR,1998,CHSP,2
BGGR,1998,COYE,2
BGGR,1998,EAKI,3.5
BGGR,1998,EAME,1
BGGR,1998,FISP,6.5
BGGR,1998,GRCA,1
BGGR,1998,KILL,1
BGGR,1998,MODO,1
BGGR,1998,NOFL,1
BGGR,1998,RWBL,4
BGGR,1998,SOSP,3.5
BGGR,1998,TRES,3
BGGR,2003,BANS,2
BGGR,2003,BAOR,1.5
BGGR,2003,CHSP,3
BGGR,2003,COYE,4
BGGR,2003,EAKI,3
BGGR,2003,EUST,1
BGGR,2003,FISP,6
BGGR,2003,KILL,3
BGGR,2003,MODO,2
BGGR,2003,NOFL,1
BGGR,2003,NOMO,2
BGGR,2003,NRWS,3
BGGR,2003,RWBL,4
BGGR,2003,SOSP,3
BGGR,2003,TRES,2
BGGR,2003,YWAR,2
BGGR,2008,AMGO,1
BGGR,2008,AMWO,1
BGGR,2008,BAOR,1
BGGR,2008,BRTH,0.5
BGGR,2008,CEDW,1
BGGR,2008,CHSP,2
BGGR,2008,COYE,2
BGGR,2008,EAKI,3
BGGR,2008,EUST,1
BGGR,2008,FISP,7
BGGR,2008,NOMO,1
BGGR,2008,NRWS,1
BGGR,2008,RWBL,7.5
BGGR,2008,SOSP,0.5
BGGR,2008,TRES,2.5
BGGR,2008,YWAR,2
BGGR,2011,AMGO,3
BGGR,2011,BHCO,1
BGGR,2011,BRTH,3.5
BGGR,2011,CEDW,1
BGGR,2011,CHSP,2
BGGR,2011,COYE,5
BGGR,2011,EATO,2
BGGR,2011,FISP,11
BGGR,2011,NRWS,2
BGGR,2011,RWBL,12
BGGR,2011,SOSP,2
BGGR,2011,TRES,1
BGGR,2011,YWAR,6
BGGR,2016,AMGO,3
BGGR,2016,BRTH,3
BGGR,2016,CHSP,4
BGGR,2016,COYE,6
BGGR,2016,EAKI,3
BGGR,2016,EATO,3
BGGR,2016,EWPW,1
BGGR,2016,FISP,8
BGGR,2016,MODO,2
BGGR,2016,NRWS,1
BGGR,2016,RWBL,11
BGGR,2016,SOSP,1
BGGR,2016,TRES,1
BGGR,2016,YWAR,15
BGGR,2021,AMGO,2
BGGR,2021,BAOR,0.5
BGGR,2021,BRTH,2
BGGR,2021,CEDW,2
BGGR,2021,CHSP,5
BGGR,2021,COGR,1
BGGR,2021,COYE,14
